Cliente,CNPJ,Produto,Qtd,Dt Emissao,Data Faturamento
MB DISTRIBUIDORA,06752049000268,056007,4.0,20250320,20250321
W.CO LOGISTICA EM DU,19246547000108,010570,2.0,20250320,20250327
W.CO LOGISTICA EM DU,19246547000108,010608,1.0,20250108,20250114
MB DISTRIBUIDORA,06752049000268,010628,3.0,20250109,20250110
LM COMERCIAL E DISTR,70963418000180,010635,1.0,20250318,20250402
LM COMERCIAL E DISTR,70963418000180,050159,1.0,20250108,        
LM COMERCIAL E DISTR,70963418000180,050159,1.0,20250108,20250110
LM COMERCIAL E DISTR,70963418000180,058169,5.0,20250109,20250110
W. NORDESTE,22101582000135,058169,3.0,20250110,20250116
LM COMERCIAL E DISTR,70963418000180,010623,2.0,20250110,20250110
W.CO LOGISTICA EM DU,19246547000108,010647,1.0,20250320,20250327
MB DISTRIBUIDORA,06752049000268,050154,1.0,20250108,20250110
W.CO LOGISTICA EM DU,19246547000108,050154,1.0,20250108,20250114
MB IMPORTS,06752049000187,055833,4.0,20250107,20250113
MB IMPORTS,06752049000187,057262,1.0,20250107,20250113
MB IMPORTS,06752049000187,057262,4.0,20250107,20250113
W. NORDESTE,22101582000135,057277,20.0,20250124,20250127
W.CO LOGISTICA EM DU,19246547000108,056620,10.0,20250319,20250327
W.CO LOGISTICA EM DU,19246547000108,010745,50.0,20250108,20250114
W.CO LOGISTICA EM DU,19246547000108,010745,25.0,20250125,20250127
MB DISTRIBUIDORA,06752049000268,010745,25.0,20250108,20250116
MB DISTRIBUIDORA,06752049000268,010745,25.0,20250320,20250324
W. NORDESTE,22101582000135,050344,4.0,20250109,20250116
MB IMPORTS,06752049000187,055837,2.0,20250107,20250113
MB IMPORTS,06752049000187,058121,1.0,20250107,20250113
MB IMPORTS,06752049000187,058121,1.0,20250107,20250113
MB IMPORTS,06752049000187,058123,8.0,20250107,20250113
MB IMPORTS,06752049000187,055846,2.0,20250107,20250113
W. NORDESTE,22101582000135,055859,5.0,20250108,20250116
MB DISTRIBUIDORA,06752049000268,058119,4.0,20250331,20250401
MB IMPORTS,06752049000187,058125,3.0,20250107,20250113
MB IMPORTS,06752049000187,058127,8.0,20250107,20250113
MB IMPORTS,06752049000187,057601,1.0,20250107,20250113
LM COMERCIAL E DISTR,70963418000180,057247,4.0,20250108,20250110
LM COMERCIAL E DISTR,70963418000180,057247,4.0,20250108,        
MB IMPORTS,06752049000187,057275,1.0,20250107,20250113
LM COMERCIAL E DISTR,70963418000180,007999,6.0,20250109,20250124
MB DISTRIBUIDORA,06752049000268,007999,8.0,20250109,20250115
MB IMPORTS,06752049000187,857263,4.0,20250107,20250113
W.CO LOGISTICA EM DU,19246547000108,007998,150.0,20250319,20250327
MB IMPORTS,06752049000187,057248,4.0,20250107,20250113
W.CO LOGISTICA EM DU,19246547000108,056619,10.0,20250125,20250127
W SUL DIST E IMP DE,08111865000137,015944,20.0,20250107,20250116
W SUL DIST E IMP DE,08111865000137,015944,170.0,20250115,20250116
LM MOTO,70963418000341,015944,250.0,20250109,20250110
MB DISTRIBUIDORA,06752049000268,015944,60.0,20250107,20250108
W.CO LOGISTICA EM DU,19246547000108,015944,110.0,20250114,20250115
W. NORTE,51050054000364,015944,80.0,20250114,20250114
LM MOTO,70963418000341,015944,30.0,20250107,20250110
W.CO LOGISTICA EM DU,19246547000108,015944,10.0,20250403,        
W. NORDESTE,22101582000135,015944,10.0,20250107,20250116
W. NORDESTE,22101582000135,015944,350.0,20250115,20250116
W.SP LOGISTICA,11247454000188,015944,180.0,20250109,20250110
W.CO LOGISTICA EM DU,19246547000108,015953,60.0,20250114,20250115
W. NORTE,51050054000364,015953,20.0,20250114,20250114
W SUL DIST E IMP DE,08111865000137,015953,30.0,20250122,20250128
W SUL DIST E IMP DE,08111865000137,015953,100.0,20250307,20250307
LM MOTO,70963418000341,015953,40.0,20250107,20250110
W.SP LOGISTICA,11247454000188,015955,10.0,20250107,20250110
W.SP LOGISTICA,11247454000188,015955,70.0,20250109,20250110
W.CO LOGISTICA EM DU,19246547000108,015955,30.0,20250113,20250114
W.CO LOGISTICA EM DU,19246547000108,015955,30.0,20250114,20250115
W. NORTE,51050054000364,015955,60.0,20250113,20250114
W. NORTE,51050054000364,015955,30.0,20250114,20250114
W. NORDESTE,22101582000135,015955,10.0,20250123,20250123
W SUL DIST E IMP DE,08111865000137,015955,10.0,20250107,20250116
W SUL DIST E IMP DE,08111865000137,015955,60.0,20250115,20250116
LM MOTO,70963418000341,015955,50.0,20250109,20250110
W. NORDESTE,22101582000135,015955,50.0,20250124,20250127
W. NORTE,51050054000364,015955,200.0,20250124,20250128
W. NORDESTE,22101582000135,016076,20.0,20250312,20250312
MB DISTRIBUIDORA,06752049000268,016076,10.0,20250107,20250109
W. NORDESTE,22101582000135,016085,12.0,20250312,20250312
W. NORTE,51050054000364,016085,6.0,20250107,20250114
MB DISTRIBUIDORA,06752049000268,016085,24.0,20250107,20250109
W.CO LOGISTICA EM DU,19246547000108,016157,20.0,20250311,20250318
W. NORTE,51050054000364,016157,20.0,20250312,20250319
